2020-02-02 00:33:53 status installed libssl1.0.2:amd64 1.0.2u-1~deb9u1
2020-02-02 00:33:53 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2020-02-02 00:33:53 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2020-02-02 00:33:53 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2020-02-02 00:33:53 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2020-02-02 00:33:53 configure libssh2-1:amd64 1.7.0-1+deb9u1 <none>
2020-02-02 00:33:53 status unpacked libssh2-1:amd64 1.7.0-1+deb9u1
2020-02-02 00:33:53 status half-configured libssh2-1:amd64 1.7.0-1+deb9u1
2020-02-02 00:33:53 status installed libssh2-1:amd64 1.7.0-1+deb9u1
2020-02-02 00:33:53 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2020-02-02 00:33:53 status half-configured libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:33:53 status installed libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:33:53 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2020-02-02 00:33:53 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:33:53 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2020-02-02 00:33:53 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2020-02-02 00:33:53 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2020-02-02 00:33:53 configure libssl1.1:amd64 1.1.0l-1~deb9u1 <none>
2020-02-02 00:33:53 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 status half-configured libssl1.1:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 status installed libssl1.1:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 configure openssl:amd64 1.1.0l-1~deb9u1 <none>
2020-02-02 00:33:53 status unpacked openssl:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 status unpacked openssl:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 status half-configured openssl:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 status installed openssl:amd64 1.1.0l-1~deb9u1
2020-02-02 00:33:53 configure libffi6:amd64 3.2.1-6 <none>
2020-02-02 00:33:53 status unpacked libffi6:amd64 3.2.1-6
2020-02-02 00:33:53 status half-configured libffi6:amd64 3.2.1-6
2020-02-02 00:33:53 status installed libffi6:amd64 3.2.1-6
2020-02-02 00:33:53 configure libkeyutils1:amd64 1.5.9-9 <none>
2020-02-02 00:33:53 status unpacked libkeyutils1:amd64 1.5.9-9
2020-02-02 00:33:53 status half-configured libkeyutils1:amd64 1.5.9-9
2020-02-02 00:33:53 status installed libkeyutils1:amd64 1.5.9-9
2020-02-02 00:33:53 configure ca-certificates:all 20161130+nmu1+deb9u1 <none>
2020-02-02 00:33:53 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2020-02-02 00:33:53 status half-configured ca-certificates:all 20161130+nmu1+deb9u1
2020-02-02 00:33:56 status installed ca-certificates:all 20161130+nmu1+deb9u1
2020-02-02 00:33:56 status triggers-pending ca-certificates:all 20161130+nmu1+deb9u1
2020-02-02 00:33:56 configure netbase:all 5.4 <none>
2020-02-02 00:33:56 status unpacked netbase:all 5.4
2020-02-02 00:33:56 status unpacked netbase:all 5.4
2020-02-02 00:33:56 status unpacked netbase:all 5.4
2020-02-02 00:33:56 status unpacked netbase:all 5.4
2020-02-02 00:33:56 status half-configured netbase:all 5.4
2020-02-02 00:33:56 status installed netbase:all 5.4
2020-02-02 00:33:56 configure libidn2-0:amd64 0.16-1+deb9u1 <none>
2020-02-02 00:33:56 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2020-02-02 00:33:56 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2020-02-02 00:33:56 status installed libidn2-0:amd64 0.16-1+deb9u1
2020-02-02 00:33:56 configure libpsl5:amd64 0.17.0-3 <none>
2020-02-02 00:33:56 status unpacked libpsl5:amd64 0.17.0-3
2020-02-02 00:33:56 status half-configured libpsl5:amd64 0.17.0-3
2020-02-02 00:33:56 status installed libpsl5:amd64 0.17.0-3
2020-02-02 00:33:56 configure libkrb5support0:amd64 1.15-1+deb9u1 <none>
2020-02-02 00:33:56 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status half-configured libkrb5support0:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status installed libkrb5support0:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 configure libhogweed4:amd64 3.3-1+b2 <none>
2020-02-02 00:33:56 status unpacked libhogweed4:amd64 3.3-1+b2
2020-02-02 00:33:56 status half-configured libhogweed4:amd64 3.3-1+b2
2020-02-02 00:33:56 status installed libhogweed4:amd64 3.3-1+b2
2020-02-02 00:33:56 configure libp11-kit0:amd64 0.23.3-2 <none>
2020-02-02 00:33:56 status unpacked libp11-kit0:amd64 0.23.3-2
2020-02-02 00:33:56 status half-configured libp11-kit0:amd64 0.23.3-2
2020-02-02 00:33:56 status installed libp11-kit0:amd64 0.23.3-2
2020-02-02 00:33:56 configure libk5crypto3:amd64 1.15-1+deb9u1 <none>
2020-02-02 00:33:56 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status half-configured libk5crypto3:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status installed libk5crypto3:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 configure libgnutls30:amd64 3.5.8-5+deb9u4 <none>
2020-02-02 00:33:56 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
2020-02-02 00:33:56 status half-configured libgnutls30:amd64 3.5.8-5+deb9u4
2020-02-02 00:33:56 status installed libgnutls30:amd64 3.5.8-5+deb9u4
2020-02-02 00:33:56 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1 <none>
2020-02-02 00:33:56 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2020-02-02 00:33:56 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2020-02-02 00:33:56 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2020-02-02 00:33:56 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3 <none>
2020-02-02 00:33:56 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:56 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:56 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:56 configure wget:amd64 1.18-5+deb9u3 <none>
2020-02-02 00:33:56 status unpacked wget:amd64 1.18-5+deb9u3
2020-02-02 00:33:56 status unpacked wget:amd64 1.18-5+deb9u3
2020-02-02 00:33:56 status half-configured wget:amd64 1.18-5+deb9u3
2020-02-02 00:33:56 status installed wget:amd64 1.18-5+deb9u3
2020-02-02 00:33:56 configure libkrb5-3:amd64 1.15-1+deb9u1 <none>
2020-02-02 00:33:56 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status half-configured libkrb5-3:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status installed libkrb5-3:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 configure libgssapi-krb5-2:amd64 1.15-1+deb9u1 <none>
2020-02-02 00:33:56 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status half-configured libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 status installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2020-02-02 00:33:56 configure libcurl3:amd64 7.52.1-5+deb9u9 <none>
2020-02-02 00:33:56 status unpacked libcurl3:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:56 status half-configured libcurl3:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:56 status installed libcurl3:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:56 configure curl:amd64 7.52.1-5+deb9u9 <none>
2020-02-02 00:33:56 status unpacked curl:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:56 status half-configured curl:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:56 status installed curl:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:56 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2020-02-02 00:33:56 status half-configured libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:33:56 status installed libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:33:56 trigproc ca-certificates:all 20161130+nmu1+deb9u1 <none>
2020-02-02 00:33:56 status half-configured ca-certificates:all 20161130+nmu1+deb9u1
2020-02-02 00:33:56 status installed ca-certificates:all 20161130+nmu1+deb9u1
2020-02-02 00:34:01 startup archives unpack
2020-02-02 00:34:01 install libassuan0:amd64 <none> 2.4.3-2
2020-02-02 00:34:01 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:34:01 status half-installed libassuan0:amd64 2.4.3-2
2020-02-02 00:34:01 status unpacked libassuan0:amd64 2.4.3-2
2020-02-02 00:34:01 status unpacked libassuan0:amd64 2.4.3-2
2020-02-02 00:34:01 install pinentry-curses:amd64 <none> 1.0.0-2
2020-02-02 00:34:01 status half-installed pinentry-curses:amd64 1.0.0-2
2020-02-02 00:34:01 status unpacked pinentry-curses:amd64 1.0.0-2
2020-02-02 00:34:01 status unpacked pinentry-curses:amd64 1.0.0-2
2020-02-02 00:34:01 install libnpth0:amd64 <none> 1.3-1
2020-02-02 00:34:01 status half-installed libnpth0:amd64 1.3-1
2020-02-02 00:34:01 status unpacked libnpth0:amd64 1.3-1
2020-02-02 00:34:01 status unpacked libnpth0:amd64 1.3-1
2020-02-02 00:34:01 install readline-common:all <none> 7.0-3
2020-02-02 00:34:01 status half-installed readline-common:all 7.0-3
2020-02-02 00:34:01 status unpacked readline-common:all 7.0-3
2020-02-02 00:34:01 status unpacked readline-common:all 7.0-3
2020-02-02 00:34:01 install libreadline7:amd64 <none> 7.0-3
2020-02-02 00:34:01 status half-installed libreadline7:amd64 7.0-3
2020-02-02 00:34:01 status unpacked libreadline7:amd64 7.0-3
2020-02-02 00:34:01 status unpacked libreadline7:amd64 7.0-3
2020-02-02 00:34:01 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u4
2020-02-02 00:34:01 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 install libksba8:amd64 <none> 1.3.5-2
2020-02-02 00:34:01 status half-installed libksba8:amd64 1.3.5-2
2020-02-02 00:34:01 status unpacked libksba8:amd64 1.3.5-2
2020-02-02 00:34:01 status unpacked libksba8:amd64 1.3.5-2
2020-02-02 00:34:01 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u1
